,Player,Match,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,
44,AD Russell,ipl2018_41,1,2.0,16,0,8.00,-,-,0,0/16,2,0,50.0
45,AD Russell,ipl2018_44,1,4.0,41,3,10.25,13.7,8.0,0,3/41,2,4,41.7
46,AD Russell,ipl2018_49,1,3.0,13,2,4.33,6.5,9.0,0,2/13,0,0,44.4
47,AD Russell,ipl2018_54,1,3.0,31,1,10.33,31.0,18.0,0,1/31,5,1,66.7
48,AD Russell,ipl2018_58,1,3.0,22,0,7.33,-,-,0,0/22,0,1,27.8
49,AD Russell,ipl2018_59,1,1.0,9,0,9.00,-,-,0,0/9,2,0,50.0
50,AD Russell,ipl2019_02,1,3.0,32,2,10.67,16.0,9.0,0,2/32,2,2,16.7
51,AD Russell,ipl2019_06,1,3.0,21,2,7.00,10.5,9.0,0,2/21,2,0,38.9
52,AD Russell,ipl2019_10,1,3.0,28,1,9.33,28.0,18.0,0,1/28,4,1,38.9
53,AD Russell,ipl2019_17,1,1.0,16,0,16.00,-,-,0,0/16,0,2,0.0
54,AD Russell,ipl2019_26,1,3.0,29,1,9.67,29.0,18.0,0,1/29,4,1,38.9
55,AD Russell,ipl2019_29,1,1.0,16,0,16.00,-,-,0,0/16,4,0,33.3
56,AD Russell,ipl2019_35,1,3.0,17,1,5.67,17.0,18.0,0,1/17,0,1,44.4
57,AD Russell,ipl2019_38,1,1.0,8,0,8.00,-,-,0,0/8,1,0,16.7
58,AD Russell,ipl2019_43,1,3.0,32,1,10.67,32.0,18.0,0,1/32,3,2,27.8
59,AD Russell,ipl2019_47,1,4.0,25,2,6.25,12.5,12.0,0,2/25,1,1,41.7
60,AD Russell,ipl2019_52,1,3.0,29,1,9.67,29.0,18.0,0,1/29,4,1,50.0
61,AD Russell,ipl2019_56,1,2.1,34,0,15.69,-,-,0,0/34,3,3,23.1
62,AD Russell,ipl2020_05,1,2.0,17,1,8.50,17.0,12.0,0,1/17,1,1,33.3
63,AD Russell,ipl2020_08,1,2.0,16,1,8.00,16.0,12.0,0,1/16,2,0,41.7
64,AD Russell,ipl2020_16,1,4.0,29,2,7.25,14.5,12.0,0,2/29,2,2,45.8
65,AD Russell,ipl2020_21,1,2.0,18,1,9.00,18.0,12.0,0,1/18,2,1,41.7
66,AD Russell,ipl2020_28,1,4.0,51,1,12.75,51.0,24.0,0,1/51,3,3,41.7
67,AD Russell,ipl2020_32,1,2.0,15,0,7.50,-,-,0,0/15,1,1,41.7
68,AD Russell,ipl2020_35,1,2.0,29,0,14.50,-,-,0,0/29,6,0,33.3
69,AD Russell,ipl2021_03,1,3.0,32,1,10.67,32.0,18.0,0,1/32,2,2,33.3
70,AD Russell,ipl2021_05,1,2.0,15,5,7.50,3.0,2.4,1,5/15,2,0,58.3
71,AD Russell,ipl2021_10,1,2.0,38,0,19.00,-,-,0,0/38,5,2,41.7
72,AD Russell,ipl2021_15,1,2.0,27,1,13.50,27.0,12.0,0,1/27,4,1,50.0
73,AD Russell,ipl2021_21,1,1.0,2,0,2.00,-,-,0,0/2,0,0,66.7
74,AD Russell,ipl2021_31,1,3.0,9,3,3.00,3.0,6.0,0,3/9,0,0,55.6
75,AD Russell,ipl2021_34,1,3.0,37,0,12.33,-,-,0,0/37,3,2,27.8
76,AD Russell,ipl2021_38,1,3.0,28,1,9.33,28.0,18.0,0,1/28,2,1,22.2
